| STT        | HO TEN                         | Tuoi       |
| 25         | Bùi Hồng                       | 18         |
| 39         | Lê Tuấn Anh                    | 18         |
| 18         | Nguyễn Anh Tuấn                | 18         |
| 3          | Ngô Châu Anh                   | 18         |
| 63         | Phan Minh Anh                  | 18         |
| 52         | Phạm Bảo                       | 18         |
| 4          | Quách Việt                     | 18         |
| 29         | Quách Việt                     | 18         |
| 47         | Quách Việt                     | 18         |
| 65         | Vũ Vân                         | 18         |
| 62         | Bùi Hồng                       | 19         |
| 2          | Hoàng Anh                      | 19         |
| 56         | Hoàng Anh                      | 19         |
| 26         | Lương Châu                     | 19         |
| 31         | Ma Minh Châu                   | 19         |
| 53         | Ma Minh Châu                   | 19         |
| 58         | Ma Minh Châu                   | 19         |
| 30         | Ngô Châu Anh                   | 19         |
| 60         | Phan Minh Anh                  | 19         |
| 6          | Phạm Bảo                       | 19         |
| 42         | Trần Linh                      | 19         |
| 15         | Vũ Thuỷ                        | 19         |
| 55         | Vũ Thuỷ                        | 19         |
| 22         | Đoàn Chiến                     | 19         |
| 40         | Đoàn Chiến                     | 19         |
| 8          | Hồ Nam                         | 20         |
| 19         | Hồ Nam                         | 20         |
| 32         | Lê Tuấn Anh                    | 20         |
| 33         | Lê Tuấn Anh                    | 20         |
| 36         | Lê Tuấn Anh                    | 20         |
| 46         | Nguyễn Anh Tuấn                | 20         |
| 7          | Phạm Bảo                       | 20         |
| 20         | Quách Việt                     | 20         |
| 48         | Quách Việt                     | 20         |
| 61         | Vũ Vân                         | 20         |
| 45         | Đoàn Chiến                     | 20         |
| 66         | Đào Hùng                       | 20         |
| 5          | Lương Châu                     | 21         |
| 35         | Nguyễn Anh Tuấn                | 21         |
| 50         | Nguyễn Anh Tuấn                | 21         |
| 16         | Phan Minh Anh                  | 21         |
| 37         | Quách Việt                     | 21         |
| 57         | Vũ Vân                         | 21         |
| 59         | Đoàn Chiến                     | 21         |
| 13         | Bùi Hồng                       | 22         |
| 41         | Hoàng Anh                      | 22         |
| 49         | Hồ Nam                         | 22         |
| 28         | Lê Tuấn Anh                    | 22         |
| 17         | Lương Châu                     | 22         |
| 14         | Phạm Bảo                       | 22         |
| 44         | Vũ Thuỷ                        | 22         |
| 70         | Vũ Vân                         | 22         |
| 64         | Đoàn Chiến                     | 22         |
| 68         | Đào Hùng                       | 22         |
| 10         | Bùi Hồng                       | 23         |
| 21         | Bùi Hồng                       | 23         |
| 51         | Bùi Hồng                       | 23         |
| 54         | Hồ Nam                         | 23         |
| 23         | Lê Tuấn Anh                    | 23         |
| 1          | Ma Minh Châu                   | 23         |
| 24         | Ma Minh Châu                   | 23         |
| 11         | Nguyễn Anh Tuấn                | 23         |
| 67         | Nguyễn Anh Tuấn                | 23         |
| 43         | Ngô Châu Anh                   | 23         |
| 9          | Phan Minh Anh                  | 23         |
| 12         | Phạm Bảo                       | 23         |
| 69         | Phạm Bảo                       | 23         |
| 27         | Trần Linh                      | 23         |
| 34         | Vũ Thuỷ                        | 23         |
| 38         | Đào Hùng                       | 23         |
TONGSO: 70 (Sinh viên)
