| STT        | HO TEN                         | Tuoi       |
| 10         | Bùi Hồng                       | 23         |
| 13         | Bùi Hồng                       | 22         |
| 21         | Bùi Hồng                       | 23         |
| 25         | Bùi Hồng                       | 18         |
| 51         | Bùi Hồng                       | 23         |
| 62         | Bùi Hồng                       | 19         |
| 2          | Hoàng Anh                      | 19         |
| 41         | Hoàng Anh                      | 22         |
| 56         | Hoàng Anh                      | 19         |
| 8          | Hồ Nam                         | 20         |
| 19         | Hồ Nam                         | 20         |
| 49         | Hồ Nam                         | 22         |
| 54         | Hồ Nam                         | 23         |
| 23         | Lê Tuấn Anh                    | 23         |
| 28         | Lê Tuấn Anh                    | 22         |
| 32         | Lê Tuấn Anh                    | 20         |
| 33         | Lê Tuấn Anh                    | 20         |
| 36         | Lê Tuấn Anh                    | 20         |
| 39         | Lê Tuấn Anh                    | 18         |
| 5          | Lương Châu                     | 21         |
| 17         | Lương Châu                     | 22         |
| 26         | Lương Châu                     | 19         |
| 1          | Ma Minh Châu                   | 23         |
| 24         | Ma Minh Châu                   | 23         |
| 31         | Ma Minh Châu                   | 19         |
| 53         | Ma Minh Châu                   | 19         |
| 58         | Ma Minh Châu                   | 19         |
| 11         | Nguyễn Anh Tuấn                | 23         |
| 18         | Nguyễn Anh Tuấn                | 18         |
| 35         | Nguyễn Anh Tuấn                | 21         |
| 46         | Nguyễn Anh Tuấn                | 20         |
| 50         | Nguyễn Anh Tuấn                | 21         |
| 67         | Nguyễn Anh Tuấn                | 23         |
| 3          | Ngô Châu Anh                   | 18         |
| 30         | Ngô Châu Anh                   | 19         |
| 43         | Ngô Châu Anh                   | 23         |
| 9          | Phan Minh Anh                  | 23         |
| 16         | Phan Minh Anh                  | 21         |
| 60         | Phan Minh Anh                  | 19         |
| 63         | Phan Minh Anh                  | 18         |
| 6          | Phạm Bảo                       | 19         |
| 7          | Phạm Bảo                       | 20         |
| 12         | Phạm Bảo                       | 23         |
| 14         | Phạm Bảo                       | 22         |
| 52         | Phạm Bảo                       | 18         |
| 69         | Phạm Bảo                       | 23         |
| 4          | Quách Việt                     | 18         |
| 20         | Quách Việt                     | 20         |
| 29         | Quách Việt                     | 18         |
| 37         | Quách Việt                     | 21         |
| 47         | Quách Việt                     | 18         |
| 48         | Quách Việt                     | 20         |
| 27         | Trần Linh                      | 23         |
| 42         | Trần Linh                      | 19         |
| 15         | Vũ Thuỷ                        | 19         |
| 34         | Vũ Thuỷ                        | 23         |
| 44         | Vũ Thuỷ                        | 22         |
| 55         | Vũ Thuỷ                        | 19         |
| 57         | Vũ Vân                         | 21         |
| 61         | Vũ Vân                         | 20         |
| 65         | Vũ Vân                         | 18         |
| 70         | Vũ Vân                         | 22         |
| 22         | Đoàn Chiến                     | 19         |
| 40         | Đoàn Chiến                     | 19         |
| 45         | Đoàn Chiến                     | 20         |
| 59         | Đoàn Chiến                     | 21         |
| 64         | Đoàn Chiến                     | 22         |
| 38         | Đào Hùng                       | 23         |
| 66         | Đào Hùng                       | 20         |
| 68         | Đào Hùng                       | 22         |
TONGSO: 70 (Sinh viên)
